MINSAN,Prodotto,Categoria,Immagine_URL,Farmacia Igea,Farmaè,Dr Max,RedCare,Farmacia Loreto,1000Farmacie,Top Farmacia,eFarma,Farmacosmo
024976015,BISOLVON FLU BUSTINE*600MG 10 BUSTINE,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,9.80,9.20,8.90,9.10,10.00,8.50,9.50,9.80,9.00
033320014,FLUIMUCIL MUCILITICO*600MG 10 BUSTINE,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,9.20,8.70,8.40,8.60,9.50,8.00,9.00,9.20,8.50
904721832,SUPRADYN RICARICA*30 COMPRESSE EFFERVESCENTI,Integratori,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,13.90,13.10,12.80,13.00,14.20,12.10,13.50,13.90,12.90
982390123,SUPRADYN RICARICA 50+*30 COMPRESSE,Integratori,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,14.50,13.70,13.30,13.60,14.90,12.70,14.10,14.50,13.50
938392019,MULTICENTRUM ADULTI*30 COMPRESSE,Integratori,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,12.80,12.10,11.80,12.00,13.10,11.20,12.50,12.80,11.90
938392021,MULTICENTRUM DONNA 50+*30 COMPRESSE,Integratori,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,15.90,15.00,14.60,14.90,16.30,13.90,15.50,15.90,14.80
930192834,MAGNESIO SUPREMO*POLVERE 150G,Integratori,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,12.90,12.20,11.90,12.10,13.20,11.30,12.60,12.90,12.00
930192846,MAGNESIO SUPREMO*POLVERE 300G,Integratori,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,21.50,20.30,19.80,20.10,22.00,18.80,21.00,21.50,20.00
923849102,POLASE RICARICA INVERNO*28 BUSTINE,Integratori,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,14.20,13.40,13.00,13.30,14.60,12.40,13.80,14.20,13.20
900192837,POLASE CLASSICO*36 BUSTINE,Integratori,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,15.80,14.90,14.50,14.80,16.20,13.80,15.40,15.80,14.70
902938475,ARMOLIPID PLUS*60 COMPRESSE COLESTEROLO,Integratori,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,28.90,27.20,26.50,27.00,29.60,25.20,28.20,28.90,26.90
978392019,LACTOFLORENE PLUS*12 FLACONCINI,Integratori,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,11.80,11.10,10.80,11.00,12.10,10.30,11.50,11.80,11.00
920192837,RILASTIL AQUA INTENSE 72H*CREMA IDRATANTE 50ML,Cosmesi e Bellezza,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,22.90,21.60,21.00,21.40,23.50,20.00,22.30,22.90,21.30
938492011,LA ROCHE-POSAY EFFACLAR DUO+M*40ML,Cosmesi e Bellezza,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,16.90,15.90,15.50,15.80,17.30,14.70,16.50,16.90,15.70
901928301,LA ROCHE-POSAY CICAPLAST BAUME B5+*100ML,Cosmesi e Bellezza,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,13.50,12.70,12.40,12.60,13.80,11.80,13.10,13.50,12.50
928394019,CERAAVE CREMA IDRATANTE*454G CON POMPA,Cosmesi e Bellezza,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,15.90,15.00,14.60,14.90,16.30,13.90,15.50,15.90,14.80
930291029,BIODERMA SENSIBIO H2O*ACQUA MICELLARE 500ML,Cosmesi e Bellezza,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,12.90,12.20,11.90,12.10,13.20,11.30,12.60,12.90,12.00
901928302,BIOSCALIN NOVA GENETICS*30 COMPRESSE CAPELLI,Cura dei Capelli,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,24.90,23.50,22.90,23.30,25.50,21.70,24.20,24.90,23.10
938492015,RESTIVOIL FISIOLOGICO*OLIO SHAMPOO 400ML,Cura dei Capelli,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,11.50,10.80,10.50,10.70,11.80,10.00,11.20,11.50,10.70
902938101,SAUGELLA DERMOLIQUIDO*DETERGENTE INTIMO 500ML,Igiene e Cura Personale,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,8.90,8.40,8.10,8.30,9.10,7.70,8.70,8.90,8.20
901928381,OMRON M2*MISURATORE PRESSIONE DA BRACCIO,Dispositivi Medici,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,44.50,42.00,40.90,41.60,45.60,38.90,43.30,44.50,41.30
